,CHAPTER,CHAPTER NAME SANSKRIT,CHAPTER NAME ENGLISH,VERSE NUMBER,SANSKRIT VERSE,SANSKRIT TRANSLITERATION,WORD TRANSLATION,SANSKRIT ENGLISH,VERSE TRANSLATION,VERSE COMMENTARY
0,11,Viśhwarūp Darśhan Yog,Yog through Beholding the Cosmic Form of God,1,अर्जुन उवाच |मदनुग्रहाय परमं गुह्यमध्यात्मसञ्ज्ञितम् |यत्त्वयोक्तं वचस्तेन मोहोऽयं विगतो मम || 1||,arjuna uvāchamad-anugrahāya paramaṁ guhyam adhyātma-sanjñitamyat tvayoktaṁ vachas tena moho ’yaṁ vigato mama,arjunaḥ uvācha—Arjun said;mat-anugrahāya—out of compassion to me;paramam—supreme;guhyam—confidential;adhyātma-sanjñitam—about spiritual knowledge;yat—which;tvayā—by you;uktam—spoken;vachaḥ—words;tena—by that;mohaḥ—illusion;ayam—this;vigataḥ—is dispelled;mama—my,arjuna uvachamad-anugrahaya paramam guhyam adhyatma-sanjnitamyat tvayoktam vachas tena moho ’yam vigato mama,"BG 11.1:Arjun said: Having heard the supremely confidential spiritual knowledge, which You have revealed out of compassion for me, my illusion is now dispelled.","Arjun has rejoiced upon hearing Shree Krishna’svibhūtis, as well as knowledge about the Supreme Personality, and he feels that his illusion is now dispelled. He has accepted that Shree Krishna is not merely his best friend, but also the Supreme Divine Personality, who is the source of all opulence in the world. Now in this chapter, he begins by gratefully acknowledging Shree Krishna’s compassion in revealing such invaluable knowledge."
1,11,Viśhwarūp Darśhan Yog,Yog through Beholding the Cosmic Form of God,2,भवाप्ययौ हि भूतानां श्रुतौ विस्तरशो मया |त्वत्त: कमलपत्राक्ष माहात्म्यमपि चाव्ययम् || 2||,bhavāpyayau hi bhūtānāṁ śhrutau vistaraśho mayātvattaḥ kamala-patrākṣha māhātmyam api chāvyayam,bhava—appearance;apyayau—disappearance;hi—indeed;bhūtānām—of all living beings;śhrutau—have heard;vistaraśhaḥ—in detail;mayā—by me;tvattaḥ—from you;kamala-patra-akṣha—lotus-eyed one;māhātmyam—greatness;api—also;cha—and;avyayam—eternal,bhavapyayau hi bhutanam shrutau vistarasho mayatvattah kamala-patraksha mahatmyam api chavyayam,"BG 11.2:I have heard from You in detail about the appearance and disappearance of all living beings, O Lotus-eyed One, and also about Your eternal magnificence.","Arjun continues his appreciation of Lord Krishna’s glories by confirming his paramount position as the source of the appearance and disappearance of the entire material manifestation. He addresses Shree Krishna in the vocative with the wordskamala-patrākṣha, meaning “whose eyes are like the lotus flower, which is large, soft, and beautiful, and endowed with the attributes of sweetness and gentleness.”By the above verse, Arjun implies, “O Shree Krishna, I have heard from you about your imperishable majestic glories. Although you are present within all, you are untainted by their imperfections. Although you are the supreme controller, yet you are the non-doer and are not responsible for our actions. Although you bestow the results of our karmas, you are impartial and equal to all. You are the supreme witness and the dispenser of the results of our actions. I thus conclude that you are the object of adoration of all beings.”"
2,11,Viśhwarūp Darśhan Yog,Yog through Beholding the Cosmic Form of God,3,एवमेतद्यथात्थ त्वमात्मानं परमेश्वर |द्रष्टुमिच्छामि ते रूपमैश्वरं पुरुषोत्तम || 3||,evam etad yathāttha tvam ātmānaṁ parameśhvaradraṣhṭum ichchhāmi te rūpam aiśhwaraṁ puruṣhottama,"evam—thus;etat—this;yathā—as;āttha—have spoken;tvam—you;ātmānam—yourself;parama-īśhvara—Supreme Lord;draṣhṭum—to see;ichchhāmi—I desire;te—your;rūpam—form;aiśhwaram—divine;puruṣha-uttama—Shree Krishna, the Supreme Divine Personality",evam etad yathattha tvam atmanam parameshvaradrashtum ichchhami te rupam aishwaram purushottama,"BG 11.3:O Supreme Lord, You are precisely what You declare yourself to be. Now I desire to see Your divine cosmic form, O Greatest of persons.","Arjun addresses Shree Krishna as the best person because no other personality is equal to him. Often scholars, basing their opinion upon dry intellectual analysis, have difficulty in accepting the concept of God as a person. They wish to perceive God as only an impersonal light, without attributes, virtues, qualities, and pastimes. However, when we tiny souls possess a personality, then why should we deny a personality to the Supreme Lord? Not only can he have a personality, but he also has the best personality, and therefore he is the Supreme Divine Personality. The difference between our personality and God’s personality is that he is not only a perfect person; he also has his impersonal all-pervading aspect, which is devoid of attributes and form.Arjun declares that he accepts the reality of Shree Krishna’s divine personality, precisely as has been described to him. He has complete faith in his personal form, and yet, he desires to see Shree Krishna’sviśhwarūp, or universal form, replete with all opulences. He wishes to view it with his own eyes."
3,11,Viśhwarūp Darśhan Yog,Yog through Beholding the Cosmic Form of God,4,मन्यसे यदि तच्छक्यं मया द्रष्टुमिति प्रभो |योगेश्वर ततो मे त्वं दर्शयात्मानमव्ययम् || 4||,manyase yadi tach chhakyaṁ mayā draṣhṭum iti prabhoyogeśhvara tato me tvaṁ darśhayātmānam avyayam,manyase—you think;yadi—if;tat—that;śhakyam—possible;mayā—by me;draṣhṭum—to behold;iti—thus;prabho—Lord;yoga-īśhvara—Lord of all mystic powers;tataḥ—then;me—to me;tvam—you;darśhaya—reveal;ātmānam—yourself;avyayam—imperishable,manyase yadi tach chhakyam maya drashtum iti prabhoyogeshvara tato me tvam darshayatmanam avyayam,"BG 11.4:O Lord of all mystic powers, if You think I am strong enough to behold It, then kindly reveal that imperishable cosmic form to me.","In the previous verse, Arjun desired to see the cosmic form of the Supreme Divine Personality. He now seeks his approval. “O Yogeshwar, I have expressed my wish. If you consider me worthy of it, then by your grace, please reveal your cosmic form to me, and show me yourYog-aiśhwarya(mystic opulence).” Yog is the science of uniting the individual soul with the Supreme soul, and those who practice this science are called yogis. The wordYogeśhwaralso means “Lord of all yogis.” Since the object of attainment for all yogis is the Supreme Lord, Shree Krishna is consequently the Lord of all yogis. Previously, in verse 10.17, Arjun had addressed the Lord as “Yogi,” implying “Master of yog.” But he has now changed it to “Yogeshwar” because of his increased respect for Shree Krishna."
4,11,Viśhwarūp Darśhan Yog,Yog through Beholding the Cosmic Form of God,5,श्रीभगवानुवाच |पश्य मे पार्थ रूपाणि शतशोऽथ सहस्रश: |नानाविधानि दिव्यानि नानावर्णाकृतीनि च || 5||,śhrī-bhagavān uvāchapaśhya me pārtha rūpāṇi śhataśho ’tha sahasraśhaḥnānā-vidhāni divyāni nānā-varṇākṛitīni cha,"śhrī-bhagavān uvācha—the Supreme Lord said;paśhya—behold;me—my;pārtha—Arjun, the son of Pritha;rūpāṇi—forms;śhataśhaḥ—by the hundreds;atha—and;sahasraśhaḥ—thousands;nānā-vidhāni—various;divyāni—divine;nānā—various;varṇa—colors;ākṛitīni—shapes;cha—and",shri-bhagavan uvachapashya me partha rupani shatasho ’tha sahasrashahnana-vidhani divyani nana-varnakritini cha,"BG 11.5:The Supreme Lord said: Behold, O Parth, My hundreds and thousands of wonderful forms of various shapes, sizes, and colors.","After listening to Arjun’s prayers, Shree Krishna now asks him to have a vision of hisviśhwarūp, or universal form. He uses the wordpaśhya, meaning “behold” to indicate that Arjun must pay attention. Although the form is one, it has unlimited features, and contains innumerable personalities of multitude shapes and variegated colors. Shree Krishna uses the phraseśhataśho ’tha sahasraśhaḥto indicate they exist in innumerable fashions and multitude ways.Having asked Arjun to behold his universal form with infinite shapes and colors, Shree Krishna now asks Arjun to observe the celestial gods and other wonders in that cosmic form."
5,11,Viśhwarūp Darśhan Yog,Yog through Beholding the Cosmic Form of God,6,पश्यादित्यान्वसून् रुद्रानश्विनौ मरुतस्तथा |बहून्यदृष्टपूर्वाणि पश्याश्चर्याणि भारत || 6||,paśhyādityān vasūn rudrān aśhvinau marutas tathābahūny adṛiṣhṭa-pūrvāṇi paśhyāśhcharyāṇi bhārata,"paśhya—behold;ādityān—the (twelve) sons of Aditi;vasūn—the (eight)vasus;rudrān—the (eleven)rudras;aśhvinau—the (twin) Ashvini Kumars;marutaḥ—the (forty-nine)maruts;tathā—and;bahūni—many;adṛiṣhṭa—never revealed;pūrvāṇi—before;paśhya—behold;āśhcharyāṇi—marvels;bhārata—Arjun, scion of the Bharatas",pashyadityan vasun rudran ashvinau marutas tathabahuny adrishta-purvani pashyashcharyani bharata,"BG 11.6:Behold in Me, O scion of the Bharatas, the (twelve) sons of Aditi, the (eight)vasus, the (eleven)rudras, the (twin) Ashwini Kumars, as well as the (forty-nine)marutsand many more marvels never revealed before.","The universal form of the Lord not only contains marvels that exist on earth but also marvels that exist in the higher planetary systems, never before seen together in this manner. He further reveals that the celestial gods are all tiny fragments of his divine form; he shows the twelveadityas, eightvasus, elevenrudras, two Ashwini Kumars, as well as the forty-ninemarutswithin himself.The twelve sons of Aditi are: Dhata, Mitra, Aryama, Shakra, Varun, Amsha, Bhaga, Vivasvan, Pusha, Savita, Tvashta, Vaman. The eight Vasus are: Dara, Dhruv, Soma, Ahah, Anila, Anala, Pratyush, Prabhas.The elevenrudrasare: Hara, Bahurupa, Tryambaka, Aparajita, Vrisakapi, Shambhu, Kapardi, Raivata, Mrigavyadha, Sarva, Kapali. The two Ashwini Kumars are the twin-born physicians of the gods.The forty-ninemaruts(wind gods) are: Sattvajyoti, Aditya, Satyajyoti, Tiryagjyoti, Sajyoti, Jyotishman, Harita, Ritajit, Satyajit, Sushena, Senajit, Satyamitra, Abhimitra, Harimitra, Krita, Satya, Dhruv, Dharta, Vidharta, Vidharaya, Dhvanta, Dhuni, Ugra, Bhima, Abhiyu, Sakshipa, Idrik, Anyadrik, Yadrik, Pratikrit, Rik, Samiti, Samrambha, Idriksha, Purusha, Anyadriksha, Chetasa, Samita, Samidriksha, Pratidriksha, Maruti, Sarata, Deva, Disha, Yajuh, Anudrik, Sama, Manusha, and Vish."
6,11,Viśhwarūp Darśhan Yog,Yog through Beholding the Cosmic Form of God,7,इहैकस्थं जगत्कृत्स्नं पश्याद्य सचराचरम् |मम देहे गुडाकेश यच्चान्यद्द्रष्टुमिच्छसि || 7||,ihaika-sthaṁ jagat kṛitsnaṁ paśhyādya sa-charācharammama dehe guḍākeśha yach chānyad draṣhṭum ichchhasi,"iha—here;eka-stham—assembled together;jagat—the universe;kṛitsnam—entire;paśhya—behold;adya—now;sa—with;chara—the moving;acharam—the non- moving;mama—my;dehe—in this form;guḍākeśha—Arjun, the conqueror of sleep;yat—whatever;cha—also;anyat—else;draṣhṭum—to see;ichchhasi—you wish",ihaika-stham jagat kritsnam pashyadya sa-characharammama dehe gudakesha yach chanyad drashtum ichchhasi,"BG 11.7:Behold now, Arjun, the entire universe, with everything moving and non-moving, assembled together in My universal form. Whatever else you wish to see, observe it all within this universal form.","After hearing Shree Krishna’s instructions to behold his form, Arjun wonders where to see it. So Shree Krishna states that it is within the body of the Supreme Divine Personality. There, he will see infinite universes with all their moving and non-moving entities. Every entity exists in the universal form, and so do the events of the past and the future. Arjun will thus be able to see the victory of the Pandavas and the defeat of the Kauravas as an event that is a part of the unfoldment of the cosmic plan for the universe."
7,11,Viśhwarūp Darśhan Yog,Yog through Beholding the Cosmic Form of God,8,न तु मां शक्यसे द्रष्टुमनेनैव स्वचक्षुषा |दिव्यं ददामि ते चक्षु: पश्य मे योगमैश्वरम् || 8||,na tu māṁ śhakyase draṣhṭum anenaiva sva-chakṣhuṣhādivyaṁ dadāmi te chakṣhuḥ paśhya me yogam aiśhwaram,na—not;tu—but;mām—me;śhakyase—you can;draṣhṭum—to see;anena—with these;eva—even;sva-chakṣhuṣhā—with your physical eyes;divyam—divine;dadāmi—I give;te—to you;chakṣhuḥ—eyes;paśhya—behold;me—my;yogam aiśhwaram—majestic opulence,na tu mam shakyase drashtum anenaiva sva-chakshushadivyam dadami te chakshuh pashya me yogam aishwaram,"BG 11.8:But you cannot see My cosmic form with these physical eyes of yours. Therefore, I grant you divine vision. Behold My majestic opulence!","When the Supreme Lord descends in the world, he has two kinds of forms—one is the material form that can be seen with material eyes, and the other is his divine form that can only be seen with divine vision. Thus, human beings do see him during his descension upon the earth, but they see only his material form. His divine form is not visible to their material eyes. That is the reason why souls in this material world cannot recognize God when he takes anAvatāron earth. Shree Krishna mentioned this in the ninth chapter, verse 11: “When I descend in My personal form deluded persons are unable to recognize Me. They do not know the divinity of My personality, as the Supreme Lord of all beings.” What people see is only the material form of the divine descension.The same theory applies to his cosmic form. In the previous two verses, Shree Krishna asked Arjun to see the cosmic form, but Arjun could see nothing because he had material eyes. The physical eyes are insufficient to see that universal form and the ordinary intellect is unequipped to comprehend it. Thus, Shree Krishna now says that he will grant the divine vision with which it will become possible to behold the universal form with all its majesty.The granting of spiritual vision is an act of grace by the Supreme Lord. By his grace, God adds his divine eyes to the soul’s material eyes; he adds his divine mind to the soul’s material mind; he adds his divine intellect to the soul’s material intellect. Then, equipped with the divine senses, mind, and intellect of God, the soul can see his divine form, think of it, and comprehend it."
8,11,Viśhwarūp Darśhan Yog,Yog through Beholding the Cosmic Form of God,9,सञ्जय उवाच |एवमुक्त्वा ततो राजन्महायोगेश्वरो हरि: |दर्शयामास पार्थाय परमं रूपमैश्वरम् || 9||,sañjaya uvāchaevam uktvā tato rājan mahā-yogeśhvaro hariḥdarśhayām āsa pārthāya paramaṁ rūpam aiśhwaram,sañjayaḥ uvācha—Sanjay said;evam—thus;uktvā—having spoken;tataḥ—then;rājan—king;mahā-yoga-īśhvaraḥ—the Supreme Lord of Yog;hariḥ—Shree Krishna;darśhayām āsa—displayed;pārthāya—to Arjun;paramam—divine;rūpam aiśhwaram—opulent form,sanjaya uvachaevam uktva tato rajan maha-yogeshvaro harihdarshayam asa parthaya paramam rupam aishwaram,"BG 11.9:Sanjay said: O King, having spoken thus, the Supreme Lord of Yog, Shree Krishna, displayed his divine and opulent form to Arjun.","Arjun had referred to Shree Krishna as “Yogeshwar” in verse 11.4. Now, Sanjay refers to him as “Maha-Yogeshwar,” adding the superlative “great” to the address “Lord of all yogis.” Sanjay was bestowed with the gift of far-sighted vision by his Guru, Ved Vyas. So he also beheld the Lord’s cosmic form in the same manner as Arjun saw it. In the next four verses, Sanjay describes to Dhritarashtra what Arjun saw. The wordaiśhwaryameans “opulence.” The cosmic form of God is replete with the manifestation of his opulences, and it invokes fear, awe, and reverence in the beholder."
9,11,Viśhwarūp Darśhan Yog,Yog through Beholding the Cosmic Form of God,10,अनेकवक्त्रनयनमनेकाद्भुतदर्शनम् |अनेकदिव्याभरणं दिव्यानेकोद्यतायुधम् || 10||दिव्यमाल्याम्बरधरं दिव्यगन्धानुलेपनम् |सर्वाश्चर्यमयं देवमनन्तं विश्वतोमुखम् || 11||,aneka-vaktra-nayanam anekādbhuta-darśhanamaneka-divyābharaṇaṁ divyānekodyatāyudhamdivya-mālyāmbara-dharaṁ divya-gandhānulepanamsarvāśhcharya-mayaṁ devam anantaṁ viśhvato-mukham,aneka—many;vaktra—faces;nayanam—eyes;aneka—many;adbhuta—wonderful;darśhanam—had a vision of;aneka—many;divya—divine;ābharaṇam—ornaments;divya—divine;aneka—many;udyata—uplifted;āyudham—weapons;divya—divine;mālya—garlands;āmbara—garments;dharam—wearing;divya—divine;gandha—fragrances;anulepanam—anointed with;sarva—all;āśhcharya-mayam—wonderful;devam—Lord;anantam—unlimited;viśhwataḥ—all sides;mukham—face,aneka-vaktra-nayanam anekadbhuta-darshanamaneka-divyabharanam divyanekodyatayudhamdivya-malyambara-dharam divya-gandhanulepanamsarvashcharya-mayam devam anantam vishvato-mukham,"BG 11.10-11:In that cosmic form, Arjun saw unlimited faces and eyes, decorated with many celestial ornaments and wielding many kinds of divine weapons. He wore many garlands on His body and was anointed with many sweet-smelling heavenly fragrances. He revealed Himself as the wonderful and infinite Lord whose face is everywhere.","Sanjay elaborates upon Shree Krishna’s divine universal form with the wordsaneka(many) andanant(unlimited). The entire creation is the body of God’s cosmic form, and therefore it contains countless faces, eyes, mouths, shapes, colors, and forms. The human intellect is habituated to grasping things within the limited kernel of time, space, and form. The cosmic form of God revealed unusual wonders, marvels, and miracles in all directions, transcending the limitations of space and time, and thus it could be aptly termed as wondrous."
